Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Apr 15, 2021",April,2021,307.82,305.9,310.12,304.12,14.56M,1.65%
"Apr 14, 2021",April,2021,302.82,307.21,307.94,302.07,17.42M,-2.24%
"Apr 13, 2021",April,2021,309.76,312.27,314.39,309.45,14.04M,-0.57%
"Apr 12, 2021",April,2021,311.54,310.72,311.92,308.08,10.88M,-0.29%
"Apr 09, 2021",April,2021,312.46,311.4,314.74,310.34,15.99M,-0.18%
"Apr 08, 2021",April,2021,313.02,314.85,315.88,310.05,20.89M,-0.02%
"Apr 07, 2021",April,2021,313.09,306.17,314.25,305.7,22.86M,2.23%
"Apr 06, 2021",April,2021,306.26,308.7,311.25,305.25,17.34M,-0.86%
"Apr 05, 2021",April,2021,308.91,300.73,310.67,300.69,28.24M,3.43%
"Apr 01, 2021",April,2021,298.66,298.4,302.4,296.6,17.62M,1.40%
"Mar 31, 2021",March,2021,294.53,290.02,296.49,288.65,19.50M,2.27%
"Mar 30, 2021",March,2021,288,289.87,292.47,286.71,17.47M,-0.97%
"Mar 29, 2021",March,2021,290.82,285.15,293.13,284.87,21.72M,2.76%
"Mar 26, 2021",March,2021,283.02,278.3,284.5,277.77,17.63M,1.54%
"Mar 25, 2021",March,2021,278.74,280,287.99,277.76,24.51M,-1.21%
"Mar 24, 2021",March,2021,282.14,291.1,291.69,281.31,18.68M,-2.92%
"Mar 23, 2021",March,2021,290.63,293.35,297.95,289.9,23.00M,-0.99%
"Mar 22, 2021",March,2021,293.54,290.66,299.7,286.88,28.27M,1.18%
"Mar 19, 2021",March,2021,290.11,281.22,292.8,281.2,38.93M,4.12%
"Mar 18, 2021",March,2021,278.62,279.79,285.17,278.44,18.75M,-1.90%
"Mar 17, 2021",March,2021,284.01,276.06,286.21,275.59,21.32M,1.69%
"Mar 16, 2021",March,2021,279.28,275.4,282.1,275,22.44M,2.02%
"Mar 15, 2021",March,2021,273.75,269.08,275.93,268.6,16.86M,1.99%
"Mar 12, 2021",March,2021,268.4,268.5,269.66,264.04,20.60M,-2.00%
"Mar 11, 2021",March,2021,273.88,267.94,277.89,267.94,21.83M,3.39%
"Mar 10, 2021",March,2021,264.9,268.53,268.73,262.9,14.21M,-0.32%
"Mar 09, 2021",March,2021,265.74,260.34,268.51,259.81,22.04M,4.09%
"Mar 08, 2021",March,2021,255.31,263.65,265.32,255.08,18.39M,-3.39%
"Mar 05, 2021",March,2021,264.28,260.67,265.45,255.61,26.82M,2.58%
"Mar 04, 2021",March,2021,257.64,256.4,266.48,253.53,31.63M,0.87%
"Mar 03, 2021",March,2021,255.41,260.31,260.85,255.12,15.51M,-1.39%
"Mar 02, 2021",March,2021,259,265.37,266.64,258.66,15.19M,-2.23%
"Mar 01, 2021",March,2021,264.91,260.74,266.65,257.94,22.16M,2.83%
"Feb 26, 2021",February,2021,257.62,256.47,265.55,256.47,26.62M,1.15%
"Feb 25, 2021",February,2021,254.69,262.54,266.92,254.04,19.05M,-3.64%
"Feb 24, 2021",February,2021,264.31,262.33,266.38,258.39,15.74M,-0.58%
"Feb 23, 2021",February,2021,265.86,259.15,267.46,254.96,21.92M,2.12%
"Feb 22, 2021",February,2021,260.33,257.62,263.06,257.62,17.43M,-0.47%
"Feb 19, 2021",February,2021,261.56,269.86,270.27,260.15,25.62M,-2.91%
