"Date","Price","Open","High","Low","Change %"
"Dec 16, 2020","6.2007","6.1788","6.2646","6.1722","0.37%"
"Dec 15, 2020","6.1778","6.2165","6.2288","6.1649","-0.61%"
"Dec 14, 2020","6.2159","6.1457","6.2302","6.0901","1.32%"
"Dec 11, 2020","6.1349","6.0999","6.1687","6.0861","0.59%"
"Dec 10, 2020","6.0991","6.2479","6.2619","6.0887","-2.36%"
"Dec 09, 2020","6.2463","6.1975","6.2703","6.1609","0.81%"
"Dec 08, 2020","6.1960","6.1755","6.2207","6.1304","0.37%"
"Dec 07, 2020","6.1734","6.2534","6.2620","6.1372","-1.21%"
"Dec 04, 2020","6.2487","6.2568","6.3035","6.2090","-0.10%"
"Dec 03, 2020","6.2550","6.3218","6.3457","6.2211","-1.03%"
"Dec 02, 2020","6.3200","6.2842","6.3519","6.2694","0.58%"
"Dec 01, 2020","6.2838","6.3604","6.3917","6.2799","-1.20%"
"Nov 30, 2020","6.3599","6.3902","6.4560","6.3210","-0.51%"
"Nov 27, 2020","6.3923","6.3569","6.4209","6.3461","0.56%"
"Nov 26, 2020","6.3568","6.3443","6.3760","6.3086","0.23%"
"Nov 25, 2020","6.3421","6.3896","6.4127","6.3208","-0.74%"
"Nov 24, 2020","6.3892","6.4412","6.4717","6.3789","-0.79%"
"Nov 23, 2020","6.4398","6.3776","6.4542","6.3533","0.99%"
"Nov 20, 2020","6.3766","6.3005","6.3995","6.2751","1.23%"
"Nov 19, 2020","6.2991","6.3575","6.3698","6.2724","-0.90%"
"Nov 18, 2020","6.3561","6.3211","6.3682","6.2605","0.58%"
"Nov 17, 2020","6.3197","6.4184","6.4436","6.3141","-1.54%"
"Nov 16, 2020","6.4186","6.4560","6.4781","6.3529","-0.61%"
"Nov 13, 2020","6.4581","6.4436","6.5356","6.4388","0.24%"
"Nov 12, 2020","6.4427","6.3495","6.4798","6.3188","1.48%"
"Nov 11, 2020","6.3490","6.3951","6.4162","6.3176","-0.75%"
"Nov 10, 2020","6.3969","6.3623","6.4007","6.3092","0.56%"
"Nov 09, 2020","6.3612","6.3744","6.4089","6.2108","-0.12%"
"Nov 06, 2020","6.3690","6.5325","6.6204","6.3617","-2.53%"
"Nov 05, 2020","6.5344","6.6422","6.6923","6.5307","-1.58%"
"Nov 04, 2020","6.6393","6.7437","6.7754","6.6104","-1.51%"
"Nov 03, 2020","6.7409","6.6860","6.7502","6.6139","0.86%"
"Nov 02, 2020","6.6837","6.6950","6.6950","6.6743","-0.10%"
"Oct 30, 2020","6.6907","6.7481","6.7845","6.6663","-0.83%"
"Oct 29, 2020","6.7464","6.7505","6.7803","6.7043","-0.03%"
"Oct 28, 2020","6.7483","6.7308","6.7891","6.6923","0.28%"
"Oct 27, 2020","6.7296","6.6423","6.7392","6.6230","1.36%"
"Oct 26, 2020","6.6395","6.6634","6.6889","6.6235","-0.33%"
"Oct 23, 2020","6.6618","6.6080","6.6807","6.5920","0.84%"
"Oct 22, 2020","6.6062","6.6526","6.6567","6.5765","-0.63%"
"Oct 21, 2020","6.6483","6.6270","6.6817","6.6093","0.34%"
"Oct 20, 2020","6.6256","6.6017","6.6435","6.5648","0.43%"
"Oct 19, 2020","6.5971","6.6184","6.6595","6.5602","-0.27%"
