Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"May 13, 2020",May,2020,2367.92,2366.8,2407.7,2337.8,4.78M,0.47%
"May 12, 2020",May,2020,2356.95,2411.85,2419,2355,3.07M,-2.16%
"May 11, 2020",May,2020,2409,2374.7,2419.66,2372.11,3.26M,1.24%
"May 08, 2020",May,2020,2379.61,2372.14,2387.24,2357,3.21M,0.51%
"May 07, 2020",May,2020,2367.61,2374.78,2376,2343.11,3.40M,0.70%
"May 06, 2020",May,2020,2351.26,2329.44,2357.45,2320,3.12M,1.44%
"May 05, 2020",May,2020,2317.8,2340,2351,2307.13,3.24M,0.08%
"May 04, 2020",May,2020,2315.99,2256.38,2326.98,2256.38,4.87M,1.31%
"May 01, 2020",May,2020,2286.04,2336.8,2362.44,2258.19,9.77M,-7.60%
"Apr 30, 2020",April,2020,2474,2419.84,2475,2396.01,9.53M,4.27%
"Apr 29, 2020",April,2020,2372.71,2330.01,2391.89,2310,4.59M,2.53%
"Apr 28, 2020",April,2020,2314.08,2372.1,2373.5,2306,5.27M,-2.61%
"Apr 27, 2020",April,2020,2376,2443.2,2444.88,2363,5.65M,-1.42%
"Apr 24, 2020",April,2020,2410.22,2417,2420.43,2382,3.83M,0.45%
"Apr 23, 2020",April,2020,2399.45,2399.98,2424.22,2382.08,5.07M,1.52%
"Apr 22, 2020",April,2020,2363.49,2369,2394,2351,4.22M,1.52%
"Apr 21, 2020",April,2020,2328.12,2416.61,2428.31,2279.66,7.48M,-2.74%
"Apr 20, 2020",April,2020,2393.61,2389.95,2444.98,2386.05,5.77M,0.78%
"Apr 17, 2020",April,2020,2375,2372.33,2400,2316.02,7.93M,-1.38%
"Apr 16, 2020",April,2020,2408.19,2346,2461,2335,12.04M,4.36%
"Apr 15, 2020",April,2020,2307.68,2257.68,2333.37,2245,6.87M,1.07%
"Apr 14, 2020",April,2020,2283.32,2200.47,2292,2186.21,8.09M,5.28%
"Apr 13, 2020",April,2020,2168.87,2040,2180,2038,6.72M,6.17%
"Apr 09, 2020",April,2020,2042.76,2044.3,2053,2017.66,4.66M,-0.01%
"Apr 08, 2020",April,2020,2043,2021,2044,2011.15,3.98M,1.56%
"Apr 07, 2020",April,2020,2011.6,2017.11,2035.72,1997.62,5.11M,0.70%
"Apr 06, 2020",April,2020,1997.59,1936,1998.52,1930.02,5.77M,4.77%
