Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Apr 30, 2020",April,2020,1346.7,1331.4,1350,1321.5,2.79M,0.34%
"Apr 29, 2020",April,2020,1342.2,1345,1360.2,1326.7,5.42M,8.89%
"Apr 28, 2020",April,2020,1232.6,1283.2,1284.8,1230.4,4.04M,-3.01%
"Apr 27, 2020",April,2020,1270.9,1292,1294.1,1265.1,2.21M,-0.45%
"Apr 24, 2020",April,2020,1276.6,1255,1277.7,1244,1.87M,0.43%
"Apr 23, 2020",April,2020,1271.2,1265.7,1288.2,1260.5,1.71M,1.01%
"Apr 22, 2020",April,2020,1258.4,1241.1,1279.9,1237.2,2.32M,3.82%
"Apr 21, 2020",April,2020,1212.2,1242.7,1250,1205,2.48M,-3.88%
"Apr 20, 2020",April,2020,1261.2,1269.9,1276.8,1256.4,1.76M,-1.40%
"Apr 17, 2020",April,2020,1279,1281.7,1290,1266,2.55M,1.72%
"Apr 16, 2020",April,2020,1257.4,1267.1,1273.4,1238.2,2.89M,0.01%
"Apr 15, 2020",April,2020,1257.3,1246.5,1275.1,1234,2.11M,-0.63%
"Apr 14, 2020",April,2020,1265.2,1240,1275.7,1228.5,3.17M,4.53%
"Apr 13, 2020",April,2020,1210.4,1201.5,1214.5,1182.3,1.94M,0.32%
"Apr 09, 2020",April,2020,1206.6,1218.2,1222,1192.4,2.70M,-0.04%
"Apr 08, 2020",April,2020,1207,1203.1,1214.9,1184,2.02M,2.07%
"Apr 07, 2020",April,2020,1182.6,1217,1220.8,1177.3,3.08M,-0.05%
"Apr 06, 2020",April,2020,1183.2,1133,1190.8,1125,3.17M,8.28%
"Apr 03, 2020",April,2020,1092.7,1114.7,1118.8,1075.1,2.57M,-2.18%
"Apr 02, 2020",April,2020,1117,1100,1122.8,1093.1,2.82M,1.35%
"Apr 01, 2020",April,2020,1102.1,1124,1129.4,1093.5,2.60M,-5.15%
"Mar 31, 2020",March,2020,1161.9,1148.7,1173.4,1136.7,3.26M,1.36%
"Mar 30, 2020",March,2020,1146.3,1132.6,1151,1098.5,2.94M,3.25%
"Mar 27, 2020",March,2020,1110.3,1125.6,1151,1104.8,3.14M,-4.53%
"Mar 26, 2020",March,2020,1162.9,1111.6,1171,1093.2,3.83M,5.56%
"Mar 25, 2020",March,2020,1101.6,1121.1,1146,1083.5,4.52M,-2.51%
"Mar 24, 2020",March,2020,1130,1102.7,1130,1088.1,3.62M,7.20%
"Mar 23, 2020",March,2020,1054.1,1056.4,1066.9,1008.9,4.18M,-1.32%
"Mar 20, 2020",March,2020,1068.2,1130.9,1138.5,1062.1,4.14M,-3.91%
"Mar 19, 2020",March,2020,1111.7,1089.6,1152.2,1057.3,3.70M,1.88%
"Mar 18, 2020",March,2020,1091.2,1053,1103.9,1037.1,4.65M,-2.40%
"Mar 17, 2020",March,2020,1118.1,1090.6,1126,1049.1,4.16M,4.20%
"Mar 16, 2020",March,2020,1073,1089.6,1145.5,1067.1,4.83M,-11.63%
"Mar 13, 2020",March,2020,1214.3,1175,1214.4,1112.3,3.97M,9.24%
"Mar 12, 2020",March,2020,1111.6,1122.6,1188.8,1108.5,4.72M,-8.20%
"Mar 11, 2020",March,2020,1210.9,1248.3,1256.9,1191.1,2.74M,-5.04%
"Mar 10, 2020",March,2020,1275.2,1254.4,1275.8,1214.5,2.74M,4.88%
"Mar 09, 2020",March,2020,1215.8,1205,1252.7,1198,3.46M,-6.17%
"Mar 06, 2020",March,2020,1295.7,1269.9,1302.8,1257.2,3.23M,-1.45%
"Mar 05, 2020",March,2020,1314.8,1345.6,1353.6,1301.6,2.72M,-4.84%
"Mar 04, 2020",March,2020,1381.6,1359,1382.8,1337,2.38M,3.28%
"Mar 03, 2020",March,2020,1337.7,1397.7,1408.2,1329.2,2.83M,-3.51%
"Mar 02, 2020",March,2020,1386.3,1351.4,1387.5,1325.2,2.77M,3.51%
