"Date","Price","Open","High","Low","Change %"
"Aug 04, 2020","6.9142","6.9577","6.9878","6.8923","-0.60%"
"Aug 03, 2020","6.9560","6.8375","6.9760","6.7910","1.78%"
"Jul 31, 2020","6.8346","6.7493","6.8737","6.7395","1.29%"
"Jul 30, 2020","6.7473","6.7190","6.7912","6.6926","0.45%"
"Jul 29, 2020","6.7174","6.6646","6.7329","6.6399","0.81%"
"Jul 28, 2020","6.6632","6.6336","6.7178","6.6047","0.55%"
"Jul 27, 2020","6.6269","6.6911","6.7380","6.6186","-0.99%"
"Jul 24, 2020","6.6934","6.6405","6.7027","6.6032","0.83%"
"Jul 23, 2020","6.6385","6.5186","6.6556","6.4934","1.90%"
"Jul 22, 2020","6.5145","6.5847","6.6068","6.4728","-1.02%"
"Jul 21, 2020","6.5815","6.7470","6.7772","6.5812","-2.43%"
"Jul 20, 2020","6.7456","6.7656","6.8105","6.7400","-0.30%"
"Jul 17, 2020","6.7661","6.6919","6.7779","6.6667","1.14%"
"Jul 16, 2020","6.6900","6.7596","6.7702","6.6617","-0.97%"
"Jul 15, 2020","6.7552","6.7387","6.7874","6.6838","0.30%"
"Jul 14, 2020","6.7350","6.7845","6.8334","6.6933","-0.72%"
"Jul 13, 2020","6.7836","6.7147","6.7909","6.6926","0.97%"
"Jul 10, 2020","6.7186","6.7352","6.7998","6.7079","-0.20%"
"Jul 09, 2020","6.7320","6.7390","6.7877","6.6379","-0.07%"
"Jul 08, 2020","6.7365","6.7467","6.7792","6.6716","-0.13%"
"Jul 07, 2020","6.7453","6.6895","6.7674","6.6467","0.87%"
"Jul 06, 2020","6.6874","6.6352","6.6964","6.5803","0.78%"
"Jul 03, 2020","6.6357","6.6824","6.7008","6.6173","-0.68%"
"Jul 02, 2020","6.6813","6.6353","6.7021","6.5855","0.76%"
"Jul 01, 2020","6.6308","6.7784","6.7864","6.6107","-2.16%"
"Jun 30, 2020","6.7774","6.6455","6.7996","6.6228","2.01%"
"Jun 29, 2020","6.6440","6.7694","6.7971","6.6255","-1.77%"
"Jun 26, 2020","6.7634","6.6532","6.7773","6.6366","1.72%"
"Jun 25, 2020","6.6491","6.6418","6.6786","6.5451","0.15%"
"Jun 24, 2020","6.6390","6.4528","6.6508","6.4229","2.89%"
"Jun 23, 2020","6.4525","6.5461","6.5739","6.4283","-1.41%"
"Jun 22, 2020","6.5450","6.5637","6.6056","6.4644","-0.25%"
"Jun 19, 2020","6.5617","6.6852","6.6991","6.5378","-1.80%"
"Jun 18, 2020","6.6817","6.5654","6.6937","6.5189","1.79%"
"Jun 17, 2020","6.5640","6.5960","6.6079","6.5066","-0.45%"
"Jun 16, 2020","6.5938","6.4988","6.6073","6.3870","1.48%"
"Jun 15, 2020","6.4977","6.3302","6.5609","6.2913","2.59%"
"Jun 12, 2020","6.3337","6.2706","6.4486","6.2428","1.02%"
"Jun 11, 2020","6.2698","6.3409","6.3446","6.2632","-1.09%"
"Jun 10, 2020","6.3387","6.2394","6.3454","6.1898","1.66%"
"Jun 09, 2020","6.2354","6.1370","6.2741","6.0851","1.62%"
"Jun 08, 2020","6.1358","6.2888","6.3134","6.1291","-2.28%"
"Jun 05, 2020","6.2789","6.4548","6.4958","6.2702","-2.61%"
"Jun 04, 2020","6.4469","6.3676","6.4777","6.3119","1.28%"
"Jun 03, 2020","6.3653","6.5282","6.5593","6.3194","-2.48%"
"Jun 02, 2020","6.5272","6.7069","6.7498","6.5233","-2.58%"
"Jun 01, 2020","6.6998","6.5844","6.7607","6.5756","1.71%"
"May 29, 2020","6.5869","6.6604","6.7590","6.5584","-1.06%"
"May 28, 2020","6.6573","6.4668","6.6676","6.4524","3.06%"
"May 27, 2020","6.4598","6.5927","6.6050","6.4520","-1.99%"
"May 26, 2020","6.5909","6.6396","6.7193","6.5813","-0.66%"
"May 25, 2020","6.6344","6.7400","6.7480","6.6235","-1.47%"
"May 22, 2020","6.7331","6.7881","6.8475","6.7214","-0.75%"
"May 21, 2020","6.7841","6.9686","6.9767","6.7802","-2.63%"
"May 20, 2020","6.9671","7.0527","7.0671","6.9392","-1.16%"
